,enter_time,leave_time
flow_1_141,1270.0,nan
flow_3_141,1270.0,nan
flow_2_141,1270.0,nan
flow_0_141,1270.0,nan
flow_3_142,1279.0,nan
flow_2_142,1279.0,nan
flow_1_142,1279.0,nan
flow_0_142,1279.0,nan
flow_3_143,1288.0,nan
flow_2_143,1288.0,nan
flow_0_143,1288.0,nan
flow_1_143,1288.0,nan
flow_3_144,1297.0,nan
flow_1_144,1297.0,nan
flow_0_144,1297.0,nan
flow_2_144,1297.0,nan
flow_2_145,1306.0,nan
flow_3_145,1306.0,nan
flow_1_145,1306.0,nan
flow_0_145,1306.0,nan
flow_3_146,1315.0,nan
flow_2_146,1315.0,nan
flow_1_146,1315.0,nan
flow_0_146,1315.0,nan
flow_2_147,1324.0,nan
flow_0_147,1324.0,nan
flow_3_147,1324.0,nan
flow_1_147,1324.0,nan
flow_3_148,1333.0,nan
flow_0_148,1333.0,nan
flow_1_148,1333.0,nan
flow_2_148,1333.0,nan
flow_3_149,1342.0,nan
flow_1_149,1342.0,nan
flow_0_149,1342.0,nan
flow_2_149,1342.0,nan
flow_3_150,1351.0,nan
flow_0_150,1351.0,nan
flow_2_150,1351.0,nan
flow_1_150,1351.0,nan
flow_3_151,1360.0,nan
flow_0_151,1360.0,nan
flow_2_151,1360.0,nan
flow_1_151,1360.0,nan
flow_2_152,1369.0,nan
flow_1_152,1369.0,nan
flow_0_152,1369.0,nan
flow_3_152,1369.0,nan
flow_1_153,1378.0,nan
flow_3_153,1378.0,nan
flow_2_153,1378.0,nan
flow_0_153,1378.0,nan
flow_3_154,1387.0,nan
flow_0_154,1387.0,nan
flow_2_154,1387.0,nan
flow_1_154,1387.0,nan
flow_0_155,1396.0,nan
flow_2_155,1396.0,nan
flow_3_155,1396.0,nan
flow_1_155,1396.0,nan
flow_3_156,1405.0,nan
flow_1_156,1405.0,nan
flow_2_156,1405.0,nan
flow_0_156,1405.0,nan
flow_1_157,1414.0,nan
flow_2_157,1414.0,nan
flow_0_157,1414.0,nan
flow_3_157,1414.0,nan
flow_0_158,1423.0,nan
flow_2_158,1423.0,nan
flow_3_158,1423.0,nan
flow_1_158,1423.0,nan
flow_0_159,1432.0,nan
flow_1_159,1432.0,nan
flow_2_159,1432.0,nan
flow_3_159,1432.0,nan
flow_1_160,1441.0,nan
flow_0_160,1441.0,nan
flow_2_160,1441.0,nan
flow_3_160,1441.0,nan
flow_0_161,1450.0,nan
flow_3_161,1450.0,nan
flow_1_161,1450.0,nan
flow_2_161,1450.0,nan
flow_1_162,1459.0,nan
flow_3_162,1459.0,nan
flow_0_162,1459.0,nan
flow_2_162,1459.0,nan
flow_2_163,1468.0,nan
flow_0_163,1468.0,nan
flow_3_163,1468.0,nan
flow_1_163,1468.0,nan
flow_2_164,1477.0,nan
flow_0_164,1477.0,nan
flow_3_164,1477.0,nan
flow_1_164,1477.0,nan
flow_1_165,1486.0,nan
flow_0_165,1486.0,nan
flow_2_165,1486.0,nan
flow_3_165,1486.0,nan
flow_3_166,1495.0,nan
flow_2_166,1495.0,nan
flow_1_166,1495.0,nan
flow_0_166,1495.0,nan
flow_0_167,1504.0,nan
flow_3_167,1504.0,nan
flow_1_167,1504.0,nan
flow_2_167,1504.0,nan
flow_1_168,1513.0,nan
flow_3_168,1513.0,nan
flow_2_168,1513.0,nan
flow_0_168,1513.0,nan
flow_1_169,1522.0,nan
flow_3_169,1522.0,nan
flow_2_169,1522.0,nan
flow_0_169,1522.0,nan
flow_3_170,1531.0,nan
flow_1_170,1531.0,nan
